Timestamp,"Power (Wm) - sid = 787470 (Incomer)"
"2018-07-01 02:33:00",443.00
"2018-07-01 02:34:00",444.00
"2018-07-01 02:35:00",445.00
"2018-07-01 02:36:00",458.00
"2018-07-01 02:37:00",463.00
"2018-07-01 02:38:00",461.00
"2018-07-01 02:39:00",445.00
"2018-07-01 02:40:00",441.00
"2018-07-01 02:41:00",446.00
"2018-07-01 02:42:00",460.00
"2018-07-01 02:43:00",501.00
"2018-07-01 02:44:00",507.00
"2018-07-01 02:45:00",509.00
"2018-07-01 02:46:00",502.00
"2018-07-01 02:47:00",494.00
"2018-07-01 02:48:00",490.00
"2018-07-01 02:49:00",492.00
"2018-07-01 02:50:00",473.00
"2018-07-01 02:51:00",442.00
"2018-07-01 02:52:00",440.00
"2018-07-01 02:53:00",435.00
"2018-07-01 02:54:00",430.00
"2018-07-01 02:55:00",423.00
"2018-07-01 02:56:00",424.00
"2018-07-01 02:57:00",426.00
"2018-07-01 02:58:00",422.00
"2018-07-01 02:59:00",432.00
"2018-07-01 03:00:00",430.00
"2018-07-01 03:01:00",432.00
"2018-07-01 03:02:00",433.00
"2018-07-01 03:03:00",417.00
"2018-07-01 03:04:00",459.00
"2018-07-01 03:05:00",489.00
"2018-07-01 03:06:00",485.00
"2018-07-01 03:07:00",492.00
"2018-07-01 03:08:00",520.00
"2018-07-01 03:09:00",505.00
"2018-07-01 03:10:00",503.00
"2018-07-01 03:11:00",483.00
"2018-07-01 03:12:00",484.00
"2018-07-01 03:13:00",513.00
"2018-07-01 03:14:00",603.00
"2018-07-01 03:15:00",580.00
"2018-07-01 03:16:00",572.00
"2018-07-01 03:17:00",627.00
"2018-07-01 03:18:00",672.00
"2018-07-01 03:19:00",1035.00
"2018-07-01 03:20:00",554.00
"2018-07-01 03:21:00",543.00
"2018-07-01 03:22:00",543.00
"2018-07-01 03:23:00",547.00
"2018-07-01 03:24:00",513.00
"2018-07-01 03:25:00",490.00
"2018-07-01 03:26:00",497.00
"2018-07-01 03:27:00",488.00
"2018-07-01 03:28:00",486.00
"2018-07-01 03:29:00",480.00
"2018-07-01 03:30:00",487.00
"2018-07-01 03:31:00",492.00
"2018-07-01 03:32:00",496.00
"2018-07-01 03:33:00",498.00
