Last Updated,PV1 Current (A),PV2 Current (A),PV1 Voltage (V),PV2 Voltage (V),Output Current (A),Network Voltage (V),Power Now (W),Exported Power (W),PV1 Input Power (W),PV2 Input Power (W),FAC1 (HZ),Exported energy (kWh),Grid Consumption (kWh),Today's Energy (kWh),Total Energy (kWh)
2018/7/1 8:35:27,0,1.6,0,249.4,1.7,246.5,370,0,0,399,50,0,0,0.7,1226.8
2018/7/1 8:40:27,0,1.8,0,248.2,1.9,245,419,0,0,448,50,0,0,0.8,1226.8
2018/7/1 8:45:27,0,1.7,0,247.8,1.9,244.8,406,0,0,434,49.97,0,0,0.8,1226.8
2018/7/1 8:50:27,0,1.4,0,247.2,1.6,244.8,335,0,0,358,50,0,0,0.8,1226.9
2018/7/1 8:55:27,0,1.2,0,244.6,1.4,245.1,291,0,0,313,50,0,0,0.9,1226.9
2018/7/1 9:00:27,0,1.3,0,246.1,1.5,240.8,304,0,0,329,50,0,0,0.9,1226.9
2018/7/1 9:05:27,0,1.3,0,244.9,1.5,241.1,298,0,0,323,49.99,0,0,0.9,1226.9
2018/7/1 9:10:27,0,1.3,0,246.2,1.5,244.5,298,0,0,320,50,0,0,0.9,1227
2018/7/1 9:15:27,0,1.2,0,243.9,1.5,243.8,292,0,0,315,50.01,0,0,1,1227
2018/7/1 9:20:27,0,1.1,0,249.7,1.4,244,262,0,0,287,50.03,0,0,1,1227
2018/7/1 9:25:27,0,1,0,243.7,1.3,244.6,237,0,0,259,0,0,1,1227,
2018/7/1 9:30:28,0,1,0,245.9,1.3,238.9,244,0,0,265,50.03,0,0,1,1227
2018/7/1 9:35:27,0,1.3,0,247.5,1.6,241.1,314,0,0,337,50.02,0,0,1.1,1227.1
2018/7/1 9:40:27,0,1.2,0,245.2,1.5,234.4,287,0,0,311,50.03,0,0,1.1,1227.1
2018/7/1 9:45:29,0,1.3,0,245.9,1.6,242.1,312,0,0,336,50.06,0,0,1.1,1227.1
2018/7/1 9:50:28,0,1.4,0,244.8,1.6,240.7,331,0,0,355,50,0,0,1.1,1227.1
2018/7/1 9:55:28,0,1.6,0,243.3,1.8,241.5,375,0,0,402,50.02,0,0,1.2,1227.2
2018/7/1 10:00:28,0,1.9,0,244.1,2,242.6,440,0,0,470,50,0,0,1.2,1227.2
2018/7/1 10:05:27,0,2.1,0,245.5,2.3,243,507,0,0,540,49.99,0,0,1.2,1227.2
2018/7/1 10:10:27,0,1.9,0,244,2,244,448,0,0,480,49.98,0,0,1.3,1227.3
2018/7/1 10:15:27,0,1.4,0,241,1.6,243.5,332,0,0,356,49.97,0,0,1.3,1227.3
2018/7/1 10:20:28,0,1.3,0,244.1,1.5,240.4,305,0,0,329,49.98,0,0,1.3,1227.3
2018/7/1 10:25:28,0,2.2,0,245.2,2.3,243.5,510,0,0,543,0,0,1.4,1227.4,
2018/7/1 10:30:28,0,1.9,0,243.4,2.1,243.1,456,0,0,488,0,0,1.4,1227.4,
2018/7/1 10:35:28,0,1.9,0,243.2,2,244.8,434,0,0,463,50.01,0,0,1.4,1227.4
2018/7/1 10:40:28,0,1.6,0,244.6,1.8,243.3,382,0,0,409,49.99,0,0,1.5,1227.5
2018/7/1 10:45:28,0,2.1,0,246,2.2,243.5,492,0,0,523,50.01,0,0,1.5,1227.5
2018/7/1 10:50:28,0,2.5,0,248.4,2.6,244.8,604,0,0,641,0,0,1.5,1227.6,
2018/7/1 10:55:28,0,2.7,0,245.4,2.8,244.6,631,0,0,670,0,0,1.6,1227.6,
2018/7/1 11:00:28,0,3,0,243.3,3,244.8,705,0,0,747,0,0,1.7,1227.7,
